CQR Pct in range,CQR Avg length,Runtime,QRF Pct in range,QRF Avg length
90.66,2.117539610635014,20.702122443999997,90.96,2.391946556375155
91.46,2.123197249915769,20.852664174999973,90.62,2.4555911562871495
91.96,2.1392151510497714,22.10084613700019,90.62,2.6185406919776395
91.06,2.0879633805132833,20.79199639699982,90.25999999999999,2.3790305930097864
90.66,2.106858054494499,20.83457076600007,91.34,2.4662073877838986
91.60000000000001,2.0953673117531078,20.638484589999734,90.8,2.7520031433849943
91.74,2.1090595991093743,20.681979152000167,90.94,2.3376157048715016
90.58,2.1031929385140575,20.75582157100007,90.66,2.3528562415539067
91.84,2.116179976222987,22.01108883699999,90.82000000000001,2.417029789082335
91.64,2.0952733627992233,20.684401262999927,90.64,2.371501331277169
90.18,2.1037584748002582,20.751939193999988,89.92,2.318138398980336
91.8,2.1256702809439294,20.669417151999824,90.06,2.4442003478519005
91.14,2.110818069469896,20.667211231000238,90.60000000000001,2.350813988470091
91.10000000000001,2.1135122115051685,21.983179116999963,90.18,2.380341467912757
91.60000000000001,2.0982803842361544,20.675919683999837,90.24,2.398118294203783
91.82000000000001,2.114550442436052,20.740698193999833,90.84,2.4415041097331103
91.88,2.1106647766904088,20.748932002999936,90.68,2.346159648551638
91.0,2.100730307013122,20.662189430000126,89.88000000000001,2.2847913553954853
91.10000000000001,2.0834041247065893,20.697108131999812,90.56,2.651707555630092
88.9,2.0652782834518186,21.95795432099976,90.02,2.3179504474224237
89.78,2.0876007805041352,20.716865405000135,89.74,2.2427950550627838
89.5,2.077902737330886,20.722620017999816,89.60000000000001,2.533853883180931
91.44,2.090947751023023,20.572482456000216,90.38000000000001,2.567183241702378
91.38,2.112093167269356,20.696876746999806,90.38000000000001,2.383831028410617
91.22,2.111359126505486,20.747287906999645,90.02,2.436779841476825
91.72,2.1100802683464557,20.731453665000117,90.96,2.397687167566372
91.4,2.099397403063855,20.64265436300002,90.2,2.356964343524729
90.06,2.081300381828455,20.721266897000078,89.58,2.404187916271015
90.96,2.094232202718695,20.649469499000134,90.10000000000001,2.4340877242000816
93.22,2.146000857985862,20.70306355699995,91.46,2.3805723585495997
91.36,2.1137950897151474,20.679106067000248,90.36,2.4444248659539367
90.60000000000001,2.104750133275761,20.673204578999957,90.12,2.3759115340946573
89.75999999999999,2.0783744703090674,20.651114441000118,90.22,2.313412767198881
89.86,2.0964382669796855,20.74862965500006,89.9,2.350887715023178
90.14,2.0692944603719385,20.672835318000125,90.46,2.503840595360172
91.78,2.1425759776971893,20.6977694279999,90.86,2.4240947535549036
91.16,2.1151016254029265,20.722294910000073,90.08,2.4464909381821847
90.9,2.102001313513165,20.77225789000022,91.66,2.5533199201756362
90.8,2.134377495195254,20.690454942999622,91.0,2.409487485632866
91.52,2.108285570413857,20.65074196400019,90.44,2.312503119029192
92.60000000000001,2.127823526565257,20.675509266000063,91.22,2.3741282143062366
89.82,2.0682550597611944,20.74499167299973,90.2,2.370187142954182
89.98,2.091625836791373,20.693051064999963,90.62,2.4442302238058065
91.4,2.099316749364243,20.735937323000144,90.2,2.4433858533211654
90.94,2.100203568206049,20.76929597399976,90.10000000000001,2.277820897967201
89.94,2.0801300073552325,20.757905644999482,89.64,2.378771706181098
91.12,2.057588273103898,20.761814727000456,90.82000000000001,2.3922647864134103
91.88,2.113369849305568,20.707384274000106,90.46,2.4489324254779254
90.64,2.0960937257119348,20.709493966000082,89.66,2.337230187561292
92.16,2.134118919083597,20.67145568900014,91.0,2.4167283735593954
90.44,2.0915427355773115,20.72366505300033,90.44,2.2998930150730854
90.88000000000001,2.0970167507855217,20.62265865900008,90.86,2.4373561514088715
90.56,2.0684493240057185,20.68531832699955,90.62,2.472610244910037
90.28,2.0751675553883753,20.6154749719999,89.9,2.4205274763838394
92.52,2.1275343285336907,20.637213488999805,91.4,2.402222217780647
91.4,2.1307830804666974,20.61745528300071,90.64,2.4692116087447777
90.58,2.1011630337842298,20.646168242000385,90.38000000000001,2.3911043047054763
92.0,2.089693791116327,20.73787776500012,89.82,2.3151368519040365
90.75999999999999,2.116909965250088,20.588903166999444,89.92,2.460298539541223
90.64,2.090011769727355,20.602385950000098,89.9,2.315763205571179
90.9,2.092011657259465,20.63300613699994,90.75999999999999,2.7485647799295627
89.98,2.065565282130187,20.68528788599997,89.56,2.259558897536685
91.44,2.1157775937069387,20.723959193000155,90.86,2.3960564447871695
92.62,2.1624349747098064,20.723670808999486,90.92,2.455225225447837
91.25999999999999,2.0863994960374934,20.645139597000707,91.22,2.497100343469542
92.54,2.1296285425718837,20.65281105199938,91.3,2.43201604465236
90.48,2.1159651777707507,20.587785228999564,89.75999999999999,2.3724725050948114
92.38,2.1080954204647946,20.67292088999966,91.38,2.391826415381428
90.64,2.080739786741873,20.716843402999984,89.98,2.3234736268226435
91.72,2.0806575955824944,20.670799978000105,90.52,2.8780988981736955
92.58,2.1323479077605545,20.593040995000592,91.14,2.4048640535345687
90.2,2.099521570062983,20.62178824700004,90.34,2.3379777974728895
91.96,2.112044827408767,20.675857979000284,90.38000000000001,2.3773120515799064
90.22,2.083148907913417,20.681714706999628,90.62,2.723242630409389
92.5,2.1440382496546735,20.699598711999897,90.58,2.477747292988596
